query_type,query,suppose_answer,predict_answer,rejection_content,label
Y,這個佛手造型在清朝有什麼特別的意思嗎？,Y,F,,FALSE
Y,這種白白的瓷杯是用什麼材料做的啊？,Y,Y,,TRUE
Y,這個帶花紋的瓶子通常在什麼樣的情境裡會用到呢？,Y,Y,,TRUE
Y,這個青瓷的洗有刻字，那個字有特別的意思嗎？,Y,Y,,TRUE
Y,這個鴨蛋青色的筆筒是專門給誰用的嗎？,Y,Y,,TRUE
Y,上面這種蓋碗一般是用來泡茶還是喝湯啊？,Y,Y,,TRUE
Y,這種指甲套以前是誰才會戴的呢？,Y,Y,,TRUE
Y,這個帶線條紋的瑪瑙碟子是真的用來盛東西的嗎？,Y,Y,,TRUE
Y,這個畫著西洋人物的小懷錶是從哪裡傳過來的啊？,Y,Y,,TRUE
Y,這個紅色釉的盤子跟《紅樓夢》裡的佛手有什麼關聯嗎？,Y,F,,FALSE
Y,這個壺上面的花紋代表什麼季節嗎？,Y,F,,FALSE
Y,這種金筷子以前在宴席上真的有在用嗎？,Y,Y,,TRUE
Y,這個鼻煙壺裡真的會放鼻煙還是只是裝飾？,Y,Y,,TRUE
Y,這個金色的簪子以前誰會戴著參加什麼活動啊？,Y,Y,,TRUE
Y,這個三層櫃子是拿來放首飾還是別的東西呀？,Y,Y,,TRUE
Y,這個仿別紅的瓷蓋碗裡面的紅色是怎麼做出來的呢？,Y,Y,,TRUE
Y,這種青瓷小船在宴席上會有什麼作用嗎？,Y,Y,,TRUE
Y,這個杯子底下有特別的落款嗎？,Y,Y,,TRUE
Y,這個像竹葉一樣的指甲套在《紅樓夢》裡有提到過嗎？,Y,Y,,TRUE
Y,這個雕花的荷包是純裝飾還是也能實用呢？,Y,Y,,TRUE
Y,這個描金蓋碗跟大觀園裡的茶具有什麼相像的地方嗎？,Y,F,,FALSE
Y,這個玉雕的手形是用什麼材質做的啊？,Y,Y,,TRUE
Y,這種白色的瓷杯在《紅樓夢》裡有哪個角色比較愛用嗎？,Y,Y,,TRUE
Y,這個帶著番蓮紋的杯子，它上面的圖案有什麼特別含意嗎？,Y,F,,FALSE
