faithfulness,answer_relevancy,context_precision,context_recall
0.8,0.9,0.8,0.7
0.85,0.88,0.78,0.75
0.85,0.9,0.75,0.8
0.9,0.95,0.85,0.9
0.92,0.93,0.9,0.92
0.75,0.8,0.55,0.6
0.45,0.85,0.78,0.72
0.9,0.9,0.85,0.8
0.7,0.9,0.4,0.3
0.68,0.75,0.68,0.72
0.15,0.25,0.2,0.3
0.93,0.92,0.9,0.9
0.9,0.95,0.9,0.9
0.95,0.95,0.93,0.93
0.25,0.45,0.15,0.2
0.92,0.93,0.92,0.93
0.9,0.9,0.9,0.9
0.95,1.0,0.55,0.8
0.78,0.85,0.81,0.83
0.7,0.9,0.65,0.5
0.98,1.0,0.92,0.9
0.1,0.2,0.3,0.25
0.85,0.92,0.83,0.88
0.7,0.85,0.45,0.15
0.9,0.95,0.9,0.9
1.0,1.0,1.0,1.0
0.8,0.8,0.7,0.7
0.25,0.4,0.25,0.3
0.9,1.0,0.85,0.9
0.95,0.95,0.95,0.95
1.0,1.0,1.0,1.0
0.9,0.95,0.9,0.92
0.85,0.9,0.9,0.8
0.85,0.9,0.4,0.2
0.9,0.9,0.9,0.9
0.85,0.92,0.8,0.78
1.0,1.0,0.2,0.9
0.95,0.96,0.92,0.93
0.9,1.0,1.0,1.0
0.8,0.92,0.87,0.88
0.8,0.9,0.75,0.8
0.75,0.85,0.72,0.78
0.3,0.8,0.6,0.6
0.9,0.9,0.9,0.9
0.0,0.0,0.0,0.0
0.65,0.85,0.75,0.8
0.85,0.88,0.8,0.8
0.93,0.95,0.94,0.93
0.9,0.92,0.86,0.82
0.75,0.9,0.8,0.8
