query_type,query,suppose_answer,predict_answer,rejection_content,label
Y,這個上面開著菊花的圖案跟《紅樓夢》裡面秋天賞花有關嗎？,Y,F,,False
Y,這個帶有鏤空花紋的髮飾以前是給誰戴的啊？,Y,Y,,True
Y,這種白色的杯子當時是什麼人家會用得到呢？,Y,Y,,True
Y,這個壺的提把設計有特別的意思嗎？,Y,F,,False
Y,這種紅色釉面的盤子在《紅樓夢》裡出現過嗎？,Y,Y,,True
Y,這個看起來像佛手的擺飾有特定象徵意義嗎？,Y,F,,False
Y,這種琺瑯彩的蓋碗怎麼分辨是在清代還是別的時候做的？,Y,Y,,True
Y,這個銀色盒子表面的花紋是用哪種技法做的？,Y,Y,,True
Y,這個小小的懷錶是誰會隨身帶著的呢？,Y,F,,False
Y,這個青瓷器皿的藍綠色釉是怎麼燒成的？,Y,Y,,True
Y,這種鼻煙壺以前是用來裝什麼的啊？,Y,Y,,True
Y,這個牆上掛的這個帶珠子的冠是什麼身份的人才能用？,Y,Y,,True
Y,這種貓眼石是怎麼鑲嵌到金飾裡的？,Y,Y,,True
Y,這個瓷器上刻的「奉華」是什麼意思？,Y,Y,,True
Y,這種花紋的梅瓶是用來裝什麼的嗎？,Y,Y,,True
Y,這一對筷子跟湯匙當時是搭配哪種場合用的？,Y,Y,,True
Y,這個雕著花的象牙荷包是放什麼東西的呢？,Y,Y,,True
Y,這個三層的螺鈿盒子通常放什麼小物？,Y,Y,,True
Y,這個畫著西洋人像的懷錶在《紅樓夢》裡誰會用到？,Y,F,,False
Y,這個帶提把的壺通常是泡茶還是裝別的東西？,Y,Y,,True
Y,這個白色的水盂是用什麼材料做的啊？,Y,Y,,True
Y,這種刻有花紋的白色杯子是在什麼時候出現的呢？,Y,Y,,True
Y,這個上面有菊花圖案的盒子，和《紅樓夢》裡有什麼關係嗎？,Y,F,,False
Y,這種佛手造型的玉為什麼會特別受到喜愛？,Y,F,,False
Y,這個帶蓋的碗，通常用來裝什麼啊？,Y,Y,,True
Y,這種青瓷的洗盆是給誰用的呢？,Y,Y,,True
Y,這個壓有「奉華」字樣的物件在《紅樓夢》裡有出現過嗎？,Y,Y,,True
Y,這套金色的筷子和湯匙，清代貴族平常會用嗎？,Y,Y,,True
Y,這個紅色釉的盤子，是用什麼方法燒製的？,Y,Y,,True
Y,這種有浮雕花紋的象牙荷包，平常會放什麼東西？,Y,Y,,True
Y,這個玻璃鼻煙壺為什麼會有金色的點點啊？,Y,F,,False
