query_type,query,suppose_answer,predict_answer,rejection_content,label
Y,這個帶葉子的佛手在清代有什麼特別的象徵嗎？,Y,F,,FALSE
Y,這種雕工細緻的玉佩以前是誰會佩戴的呢？,Y,Y,,TRUE
Y,請問這個白色瓷杯是怎麼燒製出來的啊？,Y,N,您好，這個問題與《紅樓夢》展覽的內容不太相關，建議您可以參考陶瓷工藝相關的專業資料喔！,FALSE
Y,這個看起來有蓮花紋的瓶子，大觀園裡誰會用到嗎？,Y,Y,,TRUE
Y,這種青色的筆筒在書房裡主要是做什麼用途的？,Y,Y,,TRUE
Y,上面寫著「奉華」的這個器物，是屬於哪個朝代的東西？,Y,Y,,TRUE
Y,花紋這麼細的蓋碗，是特別給貴族用的嗎？,Y,Y,,TRUE
Y,這個有提把的琺瑯壺以前會用來裝什麼呢？,Y,Y,,TRUE
Y,這對金飾是日常戴的還是專門禮儀時才用？,Y,Y,,TRUE
Y,這個金製的碗在紅樓夢裡有出現過嗎？,Y,Y,,TRUE
Y,這些金筷和匙是什麼時候才會拿出來用？,Y,Y,,TRUE
Y,這頂嶄新的頭冠是給哪種身份的女子戴的呢？,Y,Y,,TRUE
Y,這種嵌有東珠的首飾主要有什麼意義嗎？,Y,F,,FALSE
Y,這艘瓷做的小船，是不是用在宴席上呀？,Y,Y,,TRUE
Y,這個紅色釉的盤子通常拿來裝什麼東西？,Y,Y,,TRUE
Y,這個木雕圓盒跟宴會有什麼關係嗎？,Y,F,,FALSE
Y,這個畫著西洋人物的懷錶，是不是清代後期才流行？,Y,Y,,TRUE
Y,這個花卉圖案的象牙荷包在劇中誰會拿著呢？,Y,Y,,TRUE
Y,這兩個玻璃鼻煙壺有什麼不同的地方嗎？,Y,Y,,TRUE
Y,這種銀製指甲套以前是裝飾還是有其他用途？,Y,Y,,TRUE
Y,這個白色的小水盂以前主要是拿來裝什麼的嗎？,Y,Y,,TRUE
Y,這種玉做的小配件在《紅樓夢》裡有特別的象徵意義嗎？,Y,F,,FALSE
Y,像這個蓋碗，過去通常是用來喝茶還是喝酒呢？,Y,Y,,TRUE
Y,上面帶花紋的這個筆筒，清代的書房都會擺這種東西嗎？,Y,F,,FALSE
Y,這個看起來像菊花圖案的圓盒子通常會放什麼東西啊？,Y,Y,,TRUE
Y,這個紅色釉面的大盤子和《紅樓夢》有什麼典故嗎？,Y,Y,,TRUE
Y,像這種雕有蓮花紋的瓶子，會放在哪裡做裝飾嗎？,Y,Y,,TRUE
Y,這組金色的筷子和湯匙，是皇親國戚才能用的嗎？,Y,Y,,TRUE
Y,這種帶貓眼珠寶的金色頭飾在清代屬於哪一種身份才能戴呢？,Y,Y,,TRUE
Y,上面有洋人圖案的懷錶以前在清朝很常見嗎？,Y,Y,,TRUE
Y,這個玉做的佛手造型常常是送禮的選擇嗎？,Y,F,,FALSE
Y,這種帶提把的壺，是旅行時方便使用的嗎？,Y,F,,FALSE
Y,這個銀色的荷包裝什麼最多呢？,Y,Y,,TRUE
Y,上面鑲有彩色石頭的指甲套，主要是用來保護指甲還是裝飾？,Y,Y,,TRUE
Y,這個藍綠色的船形瓷器是拿來盛東西還是只是觀賞用啊？,Y,Y,,TRUE
Y,這個玻璃做的鼻煙壺，清代真的有人隨身帶嗎？,Y,Y,,TRUE
Y,像這種瑪瑙的小碟子以前主要是用來裝點心還是調味料？,Y,Y,,TRUE
Y,這個琺瑯花紋的茶壺，比陶壺還難保養嗎？,Y,N,抱歉，這個問題與《紅樓夢》展覽內容無直接關聯，無法提供相關解答。,FALSE
Y,這種蓋著的小碗用過之後會特別怎麼清洗或保存嗎？,Y,Y,,TRUE
Y,這種寫了“奉華”兩個字的青瓷器，和貴族家有關係嗎？,Y,Y,,TRUE
F,這個雕得像佛手的玉，是不是有平安或吉祥的意思啊？,F,F,,TRUE
F,這種白色的瓷杯看起來很素雅，會不會適合在賈母房裡用呢？,F,F,,TRUE
F,這個帶花紋的蓋碗會不會是招待重要客人時才拿出來的？,F,F,,TRUE
F,這一對金色的簪子，看起來很華麗，是不是只有貴族女子才戴得起啊？,F,F,,TRUE
F,這種玉佩會被當作護身符還是身份象徵呢？,F,F,,TRUE
F,這個像船一樣的青瓷器，會不會和詩酒聚會有關聯啊？,F,F,,TRUE
F,這種花鳥紋的壺，是不是在賞花喝茶的時候才用得到？,F,F,,TRUE
F,這紅色釉的盤子這麼亮眼，會讓人想到喜慶場合嗎？,F,F,,TRUE
F,這個銀色的小盒子裝鼻煙，感覺像一種時髦玩意，會不會是年輕人喜歡的？,F,F,,TRUE
F,這個貓眼石鑲金的頭飾，是不是妃嬪才能用，象徵什麼地位啊？,F,F,,TRUE
F,這種琺瑯彩的茶壺，看畫風好像融合了不同文化，當時的人會覺得新奇嗎？,F,F,,TRUE
F,這個象牙雕的荷包那麼細緻，會不會是送給心上人的信物啊？,F,F,,TRUE
F,這個蓮花圖案的梅瓶看起來很雅致，會讓人聯想到詩詞裡的憂愁感嗎？,F,F,,TRUE
F,這幾層的螺鈿盒子很精美，會不會被當作藏書信或首飾的秘密盒啊？,F,F,,TRUE
F,這種帶金絲的指甲套，戴起來是不是一種時尚象徵？,F,F,,TRUE
F,這個黃地的杯子畫滿花，是不是在節慶或宴會更凸顯喜氣啊？,F,F,,TRUE
F,這個描有西洋人像的懷錶，是不是當時新潮身份的象徵？,F,F,,TRUE
F,這種瑪瑙製的碗，會不會只有宴席上才看得到？,F,F,,TRUE
F,這個杯托配碟子的設計，是不是提醒人們要注重用餐禮儀啊？,F,F,,TRUE
F,這個雕花的琺瑯壺，擺在大觀園裡會讓哪位姑娘最愛呢？,F,F,,TRUE
F,這種玉佩是不是很多賈府小姐會掛在身上，有什麼特別的意思嗎？,F,F,,TRUE
F,這個白白圓圓的水盂，會不會像寶玉房裡擺的那種給人養性用的啊？,F,F,,TRUE
F,帶著番蓮花紋的杯子，這種花樣在當時有什麼吉利的象徵嗎？,F,F,,TRUE
F,看到這麼素雅的梅瓶，你會聯想到哪個紅樓夢裡比較內斂的角色呢？,F,F,,TRUE
F,這個青瓷筆筒，放在書房是不是表示主人很重視文墨呀？,F,F,,TRUE
F,「奉華」這個字寫在這種清瓷上，在紅樓夢裡會讓你想到哪一段故事或心情？,F,F,,TRUE
F,這種四季花卉的蓋碗，是不是在賈母那種長輩聚會時才用得上啊？,F,F,,TRUE
F,這種海棠形狀的壺，像不像春天園子裡賞花用的茶壺呢？,F,F,,TRUE
F,這個提著走的壺，在紅樓夢裡會不會拿來在園裡給大家倒茶啊？,F,F,,TRUE
F,這一對金色的簪子，看起來是不是只有身份高的角色才戴得起來呢？,F,F,,TRUE
F,看到這種豪華的金碗，你會不會聯想到賈府宴席時那種氣派的場面？,F,F,,TRUE
F,金製的筷子跟匙，看得出當時的人有沒有注重飲食禮儀呢？,F,F,,TRUE
F,這種帶有東珠跟貓眼石的冠，會是哪種身份的女性在大場合才會戴上啊？,F,Y,,FALSE
F,這個鏤空的金珊瑚花，如果黛玉看到會不會覺得華麗還是過於張揚呢？,F,F,,TRUE
F,這條青瓷做的小船，你覺得在大觀園的荷花池裡會不會看得到類似的擺設啊？,F,F,,TRUE
F,木雕佛手放在紅色盤裡，這種擺設有沒有什麼吉祥或者祝福的意味呢？,F,F,,TRUE
F,這個裝菊花的圓盒子，看起來比較適合誰拿來收納自己的小物品啊？,F,F,,TRUE
F,這個帶西洋人物的懷錶，出現在紅樓夢裡會不會讓人覺得很新奇稀奇呢？,F,F,,TRUE
F,這個象牙雕成的荷包，會是黛玉還是寶釵這種細心女孩用來裝零碎小東西的？,F,F,,TRUE
F,黑色帶金點的鼻煙壺，這麼低調又有質感，會不會比較像賈母房裡的風格呢？,F,F,,TRUE
N,這裡有提供免費的無線網路嗎？,N,N,抱歉，這個問題與《紅樓夢》展覽內容無關，無法提供相關資訊。,TRUE
N,你會唱卡拉OK嗎？,N,N,抱歉，這個問題與《紅樓夢》展覽內容無關，無法提供相關回答。,TRUE
N,附近有什麼好吃的餐廳推薦嗎？,N,N,抱歉，這裡主要提供《紅樓夢》相關展覽資訊，無法提供餐廳推薦喔。,TRUE
N,你平常都喜歡什麼運動？,N,N,抱歉，這個問題與《紅樓夢》展覽內容無關，無法提供相關回答。,TRUE
N,現在幾點鐘了？,N,N,抱歉，這個問題與《紅樓夢》展覽無關，無法提供相關回答。,TRUE
N,你喜歡貓還是狗？,N,N,抱歉，這個問題與《紅樓夢》展覽無關，無法回答喔！,TRUE
N,這一帶有什麼特別的景點嗎？,N,N,抱歉，這個問題不在本次《紅樓夢》展覽的範圍內，無法提供相關資訊。,TRUE
N,最近有什麼熱門電影可以推薦？,N,N,抱歉，本展覽專注於《紅樓夢》相關內容，無法提供電影推薦喔。,TRUE
N,你覺得明天會冷嗎？,N,N,抱歉，這個問題與《紅樓夢》展覽無關，無法提供相關資訊。,TRUE
N,這裡哪裡可以坐下來休息？,N,N,抱歉，這個問題與《紅樓夢》展覽內容無關，建議您向現場工作人員詢問休息區位置。,TRUE
N,你平常會看漫畫嗎？,N,N,抱歉，這個問題與《紅樓夢》展覽內容無關，無法提供相關資訊。,TRUE
N,最近有什麼好聽的新歌？,N,N,抱歉，這個問題與《紅樓夢》展覽無關，無法提供相關資訊。,TRUE
N,你喜歡喝茶還是咖啡？,N,N,抱歉，這個問題與《紅樓夢》展覽無關，無法提供相關回答。,TRUE
N,今天交通狀況順暢嗎？,N,N,抱歉，這個問題與《紅樓夢》展覽無關，無法提供相關資訊。,TRUE
N,你學過外語嗎？,N,N,這個問題與《紅樓夢》展覽內容無關，無法提供相關資訊，謝謝您的理解。,TRUE
N,這附近有便利商店嗎？,N,N,抱歉，這個問題與《紅樓夢》展覽無關，無法提供相關資訊。,TRUE
N,你習慣早起還是晚睡？,N,N,抱歉，這個問題與《紅樓夢》展覽內容無關，無法提供相關回答。,TRUE
N,你下班後喜歡做什麼？,N,N,抱歉，這個問題與《紅樓夢》展覽內容無關，無法提供相關回答。,TRUE
N,現在還有公車可以搭嗎？,N,N,抱歉，您的問題與《紅樓夢》展覽無關，無法提供相關資訊。,TRUE
N,你週末有什麼計畫？,N,N,抱歉，這個問題與《紅樓夢》展覽無關，無法提供相關資訊。,TRUE
N,你喜歡吃冰淇淋嗎？,N,N,抱歉，這個問題與《紅樓夢》展覽無關，無法回答喔！,TRUE
N,狗狗可以學會多少種技能？,N,N,抱歉，這個問題與《紅樓夢》展覽內容無關，無法提供相關資訊。,TRUE
N,這週末有什麼電影推薦嗎？,N,N,抱歉，本展覽專注於《紅樓夢》相關內容，無法提供電影推薦喔。,TRUE
N,早上喝咖啡會提神嗎？,N,N,您好，這個問題與《紅樓夢》展覽內容無關，無法提供相關資訊，感謝您的理解。,TRUE
N,你會彈鋼琴嗎？,N,N,抱歉，這個問題與《紅樓夢》展覽內容無關，無法回答喔。,TRUE
N,今年夏天會很熱嗎？,N,N,抱歉，這個問題與《紅樓夢》展覽無關，無法提供相關資訊。,TRUE
N,你覺得哪種運動最有趣？,N,N,抱歉，這個問題與《紅樓夢》展覽內容無關，無法提供相關回答。,TRUE
N,早安可以用英文怎麼說？,N,N,您好，這裡主要介紹《紅樓夢》相關內容，若有相關問題很樂意為您解答！,TRUE
N,開車時要注意哪些安全事項？,N,N,您好，這個問題與《紅樓夢》展覽內容無關，無法提供相關資訊，謝謝您的理解。,TRUE
N,花生醬和巧克力搭配好吃嗎？,N,N,抱歉，這個問題與《紅樓夢》展覽內容無關，無法提供相關資訊。,TRUE
N,你養過寵物貓嗎？,N,N,抱歉，這個問題與《紅樓夢》展覽無關，無法提供相關資訊。,TRUE
N,太空有什麼特別的現象？,N,N,抱歉，這個問題與《紅樓夢》展覽無關，無法提供相關資訊。,TRUE
N,你怎麼減壓的？,N,N,抱歉，這個問題與《紅樓夢》展覽內容無關，無法提供相關回答。,TRUE
N,橡皮擦是什麼材料做的？,N,N,抱歉，這個問題與《紅樓夢》展覽內容無關，無法提供相關資訊。,TRUE
N,手機遊戲會不會很耗電？,N,N,抱歉，這個問題與《紅樓夢》展覽內容無關，無法提供相關回答。,TRUE
N,你喜歡看漫畫還是小說？,N,N,這個問題與《紅樓夢》展覽無關，無法提供相關資訊，謝謝您的理解。,TRUE
N,冬天要怎麼保暖？,N,N,您好，這個問題與《紅樓夢》展覽內容不太相關，歡迎您提出與展覽相關的問題喔！,TRUE
N,怎麼樣才可以養成早起的習慣？,N,N,抱歉，這個問題與《紅樓夢》展覽無關，無法提供相關資訊。,TRUE
N,你會煮義大利麵嗎？,N,N,抱歉，這個問題與《紅樓夢》展覽內容無關，無法提供相關資訊。,TRUE
N,彩虹有幾種顏色？,N,N,抱歉，這個問題與《紅樓夢》展覽無關，無法提供相關回答。,TRUE
Y,這種白瓷梅瓶看起來是不是給人一種比較高雅清冷的氛圍啊？,Y,F,,FALSE
Y,這個玉佩感覺比其他飾品更能代表賈寶玉的個性嗎？,Y,F,,FALSE
Y,這組金筷子、金匙看起來用起來是不是特別有種貴族的感覺呢？,Y,F,,FALSE
Y,這個帶花卉紋的蓋碗，是不是很適合表現詩文聚會的情境？,Y,F,,FALSE
Y,這個紅釉盤盛佛手，是不是也給人一種喜慶熱鬧的象徵意味？,Y,F,,FALSE
Y,這個畫有西洋人物的懷錶，看起來比較像年輕角色會喜歡的東西嗎？,Y,F,,FALSE
F,這種玻璃做的小煙壺尺寸大概會做多大，方便隨身帶嗎？,F,Y,,FALSE
F,像這種白瓷的蓮紋梅瓶通常是用哪一種工法燒出來的？,F,Y,,FALSE
F,金作的筷跟匙通常會怎麼保養才不容易變色？,F,N,抱歉，這個問題與《紅樓夢》展覽內容無關，無法提供相關資訊。,FALSE
F,這種宜興胎畫琺瑯的蓋碗通常什麼場合在用呢？是不是喝茶才用得到？,F,Y,,FALSE
F,這個雕成佛手形狀的玉，一般尺寸大概多大，方便握在手裡嗎？,F,Y,,FALSE
Y,這個白色的瓶子看起來很簡約，是不是比較有一種清冷的氛圍，像黛玉的感覺啊？,Y,F,,FALSE
Y,這種玉佩拿在手上會讓人覺得有點溫潤，是不是象徵長輩給晚輩的祝福呢？,Y,F,,FALSE
