query_type,query,suppose_answer,predict_answer,rejection_content,label
Y,這個玉做的佛手造型有什麼特別的象徵意思嗎？,Y,F,,FALSE
Y,這種白色的梅瓶是用來裝什麼的呢？,Y,Y,,TRUE
Y,這個帶花紋的瓷杯會出現在《紅樓夢》裡的哪些場合啊？,Y,F,,FALSE
Y,這個水盂以前在寫字的時候是怎麼用的？,Y,Y,,TRUE
Y,像這種畫有菊花的盒子在清代有特別的用途嗎？,Y,Y,,TRUE
Y,這種金色的筷子是誰會用到呀？,Y,Y,,TRUE
Y,這個雕花荷包是用什麼材料做的呢？,Y,Y,,TRUE
Y,這種壺上面的花紋有什麼意思嗎？,Y,F,,FALSE
Y,這個鼻煙壺為什麼要做成黑底還有金點的樣子？,Y,F,,FALSE
Y,這個紅色釉的大盤子在清朝是做什麼用的？,Y,Y,,TRUE
Y,這種金色髮飾以前是女性在什麼時候戴的？,Y,Y,,TRUE
Y,像這個有提把的壺會不會在大觀園裡出現啊？,Y,F,,FALSE
Y,這個白色帶有藍花紋的蓋碗，是清代常見的茶具嗎？,Y,Y,,TRUE
Y,這種嵌著瑪瑙的碗托有什麼特別的工藝嗎？,Y,Y,,TRUE
Y,上面這個船形的瓷器是拿來做什麼的？,Y,Y,,TRUE
Y,這種鏤空竹葉紋的指甲套是誰會用到啊？,Y,Y,,TRUE
Y,這個圓形的金碗是純金做的嗎？,Y,Y,,TRUE
Y,這種蓋著蓋子的四季花壺，是怎麼做出彩色圖案的？,Y,Y,,TRUE
Y,這個畫著西洋人物的懷錶是什麼時候傳進中國的？,Y,Y,,TRUE
Y,這種有菱花形框的金飾在《紅樓夢》裡有出現過嗎？,Y,Y,,TRUE
Y,這顆玉佛手代表什麼寓意啊？,Y,F,,FALSE
Y,這種白色的瓷杯以前是拿來喝什麼的呢？,Y,Y,,TRUE
Y,這個上面有花紋的梅瓶是清代的常見樣式嗎？,Y,Y,,TRUE
Y,這個青色的筆筒是用什麼材料做的？,Y,Y,,TRUE
Y,這種帶番蓮紋的杯子在《紅樓夢》裡有出現過嗎？,Y,Y,,TRUE
Y,這個圓圓的雕花盒子通常拿來裝什麼？,Y,Y,,TRUE
Y,這種壺蓋上頭的圖案有什麼特別意思嗎？,Y,F,,FALSE
Y,這個看起來很細緻的金飾以前是什麼人會戴啊？,Y,Y,,TRUE
Y,這種紅色的盤子清代時常見嗎？,Y,Y,,TRUE
Y,這個有手把的壺跟一般壺有什麼不同？,Y,Y,,TRUE
Y,這種可以拆開的三層盒子是用來做什麼的？,Y,Y,,TRUE
Y,這個有指甲套的東西在古時候是什麼人會用？,Y,Y,,TRUE
Y,這個帶蓋的杯子清代女孩子會常用嗎？,Y,F,,FALSE
Y,這顆鼻煙壺的材質摸起來會冰冰涼涼的嗎？,Y,Y,,TRUE
Y,這種金色的筷子和湯匙會特別給誰用嗎？,Y,Y,,TRUE
Y,上面這個紋路像竹葉的飾品是手工做的嗎？,Y,Y,,TRUE
Y,這種懷錶在《紅樓夢》的年代已經有了嗎？,Y,Y,,TRUE
Y,這個船形狀的青瓷以前會拿來盛什麼東西？,Y,Y,,TRUE
Y,這個有花紋的蓋碗會用在什麼場合裡？,Y,Y,,TRUE
Y,這個小荷包上頭的雕花是用象牙做的嗎？,Y,Y,,TRUE
F,這個白色瓷杯感覺很素雅，會不會是文人聚會時常用的呢？,F,F,,TRUE
F,像這樣雕成佛手形狀的玉，是不是有平安吉祥的意思啊？,F,F,,TRUE
F,這種帶金邊的筷子，是不是只有貴族或大戶人家用得起呢？,F,F,,TRUE
F,這個精緻的蓋碗，看起來適合擺在哪種場合，像宴請還是家常用呢？,F,F,,TRUE
F,上面這個有菊花圖案的圓盒，會讓你想到紅樓夢裡哪個角色的品味啊？,F,F,,TRUE
F,這個紅色的盤子看起來很搶眼，是不是跟喜慶場合有關呢？,F,F,,TRUE
F,這種船造型的青瓷，是不是象徵一帆風順的意思？,F,F,,TRUE
F,這麼細緻的指甲套，會是給貴婦還是年輕姑娘用的啊？,F,F,,TRUE
F,看到這種繡著花的荷包，你覺得是隨身帶還是用來送禮比較多？,F,F,,TRUE
F,這個琺瑯壺上畫滿花卉，會不會讓你想到大觀園裡的春日場景？,F,F,,TRUE
F,這個金色的冠飾看起來很華麗，會是哪種特別的場合才會戴上呢？,F,F,,TRUE
F,像這樣小巧的鼻煙壺，是不是有點像人際交往的小禮物？,F,F,,TRUE
F,這個白瓷花瓶的蓮紋，是不是有清淨或高潔的象徵呢？,F,F,,TRUE
F,像這個瑪瑙雕成花形的碟子，用餐時是不是也會讓人心情變好？,F,F,,TRUE
F,這對精細的玉佩，你覺得是寄託什麼情感或承諾嗎？,F,F,,TRUE
F,這種又薄又透的玻璃盒，是放貴重小物還是有什麼特別寓意呢？,F,F,,TRUE
F,看到這個番蓮紋的杯子，會讓你聯想到什麼詩句或文學情境嗎？,F,F,,TRUE
F,這麼美的懷錶，你覺得紅樓夢裡哪個角色會特別喜歡？,F,F,,TRUE
F,這個蓋碗特別描了金邊，會不會是在重大的節日才拿出來用？,F,F,,TRUE
F,這麼有工藝感的三層屜盒，是不是除了實用外，也有象徵家庭和樂的意思？,F,F,,TRUE
F,這個白白圓圓的杯子，看起來乾淨簡單，會不會是特別重視品味和清雅氣氛的人用的啊？,F,F,,TRUE
F,這種玉做的小飾品給人的感覺很溫潤，古時候是不是代表某種人的品格或身份呢？,F,F,,TRUE
F,這個有很多花朵圖案的壺，如果在大觀園擺著，是不是特別顯得有春天的氣息呢？,F,F,,TRUE
F,這個小盒子外面畫滿菊花，放在閨房裡會讓人聯想到哪位女子的性格呢？,F,F,,TRUE
F,這個閃著金光的髮簪，是不是得身份高貴的小姐或貴婦才能佩戴啊？,F,F,,TRUE
F,這種玉佛手感覺寓意很吉祥，在紅樓夢裡是不是有帶來好運的象徵？,F,F,,TRUE
F,這個紅色亮亮的盤子，看起來很熱鬧，是不是常用在節慶場合上呢？,F,F,,TRUE
F,這麼精緻的鼻煙壺放在書房裡，是不是展現主人的品味和講究啊？,F,F,,TRUE
F,這個有番蓮花紋的瓷杯，看起來有點異國風情，會不會表現出主人的開放或好奇心呢？,F,F,,TRUE
F,這個專門用來夾菜的金筷子，是不是有點像權貴家庭的排場，讓人覺得氣派？,F,F,,TRUE
F,這種嵌著寶石的指甲套戴在手上，是不是不只是為了美觀，也有一點權力象徵？,F,F,,TRUE
F,這個雕花的荷包，會不會讓你聯想到某個文靜愛詩書的角色的日常配件呢？,F,F,,TRUE
F,這個白色大氣的梅瓶擺在廳堂裡，是不是會讓人感覺更有書香味？,F,F,,TRUE
F,這種做工細膩的蓋碗用來請客，會不會讓賓客覺得被特別重視呢？,F,F,,TRUE
F,這個看起來很現代的懷錶，在紅樓夢的時代是不是也代表掌握時間、身份不一般啊？,F,F,,TRUE
F,這個青綠色的筆筒擺在書桌上，會不會讓人聯想到誰特別愛寫詩作畫呢？,F,F,,TRUE
F,這種圓圓的金碗擺在宴席上，大家會不會覺得吃飯都特別有儀式感？,F,F,,TRUE
F,這個上面有水藍色釉、寫了字的小洗缽，會不會是某位才子才女的心頭好？,F,F,,TRUE
F,這個瑪瑙做的小碟子看起來晶瑩剔透，會讓你想到怎樣的角色或故事場景啊？,F,F,,TRUE
F,這個明亮的玻璃鼻煙盒，如果在賈府出現，是不是也能成為大家閒聊的話題呢？,F,F,,TRUE
N,你喜歡看電影還是聽音樂？,N,N,您好，這個問題與《紅樓夢》展覽主題無關，歡迎您詢問有關展覽或《紅樓夢》的相關問題！,TRUE
N,今天晚餐想吃什麼？,N,N,您好，這個問題與《紅樓夢》展覽無關，歡迎詢問相關內容！,TRUE
N,你會養寵物嗎？,N,N,您好，這個問題與《紅樓夢》展覽主題無關，歡迎您詢問有關展覽或小說內容的問題！,TRUE
N,早上起床會喝咖啡還是茶？,N,N,您好，這個問題與《紅樓夢》展覽內容無關，歡迎您詢問與展覽或書中角色、情節相關的問題！,TRUE
N,你去過哪些國家旅遊？,N,N,您好，這個問題與《紅樓夢》展覽無關，歡迎詢問相關內容！,TRUE
N,最近有沒有推薦的電視劇？,N,N,您好，本展覽僅針對《紅樓夢》及其相關展品提供解說與問答，歡迎提出相關問題！,TRUE
N,你學過游泳嗎？,N,N,您好，這個問題和《紅樓夢》展覽內容無關，歡迎您詢問有關展覽或紅樓夢的相關問題！,TRUE
N,平常有運動習慣嗎？,N,N,您好，這個問題與《紅樓夢》展覽主題無關，歡迎您詢問有關展覽或《紅樓夢》的內容！,TRUE
N,你喜歡逛夜市還是百貨公司？,N,N,您好，這個問題與《紅樓夢》展覽主題無關，歡迎您詢問相關內容！,TRUE
N,會不會自己做甜點？,N,N,您好，這個問題與《紅樓夢》展覽內容無關，歡迎您提出與展覽或小說相關的問題！,TRUE
N,假日通常怎麼安排？,N,N,您好，這個問題與《紅樓夢》展覽內容無關，歡迎您詢問有關展覽或小說的相關問題！,TRUE
N,你會彈樂器嗎？,N,N,您好，這個問題與《紅樓夢》展覽內容無關，歡迎詢問相關展品或小說的問題！,TRUE
