qid,query,gold_label,pred_label_from_resp,faithfulness,answer_relevancy,context_precision,context_recall
1,這個佛手形狀在《紅樓夢》裡有什麼特別的象徵嗎？,Y,Y,0.8,0.9,0.8,0.7
2,這種玉做的小飾品以前是誰會帶在身上的啊？,Y,Y,0.85,0.88,0.78,0.75
3,這個白色的瓷碗是用來盛什麼的呢？,Y,Y,0.85,0.9,0.75,0.8
4,這個表面有花紋的白瓷杯主要是怎麼做出花紋的呀？,Y,Y,0.9,0.95,0.85,0.9
5,這個細細雕著花紋的瓶子，和其他茶具有什麼不一樣嗎？,Y,N,0.92,0.93,0.9,0.92
6,這個看起來帶點青色的筆筒清代文人會怎麼用？,Y,Y,0.75,0.8,0.55,0.6
7,上面刻著「奉華」這兩個字的洗，是什麼用途的啊？,Y,Y,0.45,0.85,0.78,0.72
8,這種彩色畫花的蓋碗常常在哪種場合會用到呢？,Y,Y,0.9,0.9,0.85,0.8
9,這個像海棠花形狀的茶壺實際能泡幾杯茶啊？,Y,Y,0.7,0.9,0.4,0.3
10,這種有提把的壺以前是在什麼時候會用到？,Y,Y,0.68,0.75,0.68,0.72
11,這種一對金色的簪子在劇中是哪位角色戴過的嗎？,Y,N,0.15,0.25,0.2,0.3
12,這個金碗拿來盛哪種食物比較多啊？,Y,N,0.93,0.92,0.9,0.9
13,這對金筷子和匙以前是屬於哪種人的日常用品？,Y,N,0.9,0.95,0.9,0.9
14,這個上面有很多東珠和貓眼石的頭飾是哪種身份可以戴？,Y,Y,0.95,0.95,0.93,0.93
15,這個鏤空帶紅色的小圓盒通常會收納什麼東西？,Y,Y,0.25,0.45,0.15,0.2
16,這個懷錶上有西洋人物，當時怎麼會流行這種圖案呢？,Y,N,0.92,0.93,0.92,0.93
17,這種雕滿花卉的荷包是用甚麼材質做的啊？,Y,Y,0.9,0.9,0.9,0.9
18,這個黑底閃著金點的小瓶子通常是裝什麼用的？,Y,Y,0.95,1,0.55,0.8
19,這個層層疊疊的三層屜盒最常放什麼東西呢？,Y,N,0.78,0.85,0.81,0.83
20,這個指甲套上面有蓮花圖案，是什麼身份的人喜歡用這種飾品？,Y,Y,0.7,0.9,0.65,0.5
21,這個淡青色的筆筒是用什麼材料做的啊？,Y,N,0.98,1,0.92,0.9
22,這種帶著花紋的白色小瓶，在清代叫什麼名字呢？,Y,N,0.1,0.2,0.3,0.25
23,這種呈透明紅色的盤子，當時是怎麼燒出這樣的顏色的？,Y,N,0.85,0.92,0.83,0.88
24,這個佛手造型出現在《紅樓夢》裡有特別的意思嗎？,Y,Y,0.7,0.85,0.45,0.15
25,這種上面有藍色花卉圖案的壺，平常是拿來裝什麼的？,Y,Y,0.9,0.95,0.9,0.9
26,這一對金色的髮簪，當時是什麼人會戴啊？,Y,Y,1,1,1,1
27,這個小小的懷錶，清代有什麼特別的稱呼嗎？,Y,Y,0.8,0.8,0.7,0.7
28,這個碗底下的花紋，有在《紅樓夢》裡出現過嗎？,Y,Y,0.25,0.4,0.25,0.3
29,這個用來插筆洗筆的器具，古時候會放在哪裡？,Y,Y,0.9,1,0.85,0.9
30,這個茶壺外面畫的這些花，分別代表什麼季節嗎？,Y,Y,0.95,0.95,0.95,0.95
31,這種像小袋子的象牙雕花，是拿來裝什麼的？,Y,N,1,1,1,1
32,這個帶指甲套的東西，是清代女子平常會戴著嗎？,Y,Y,0.9,0.95,0.9,0.92
33,這個金色的碗，當時重要的宴席會用得到嗎？,Y,Y,0.85,0.9,0.9,0.8
34,這個顏色很淡的蓋碗，是怎麼蓋住茶葉不讓味道散掉的？,Y,N,0.85,0.9,0.4,0.2
35,這種透明帶紋路的碟子是用什麼石頭做的？,Y,N,0.9,0.9,0.9,0.9
36,這種帶琺瑯彩的提梁壺，是不是只有貴族才會有呢？,Y,N,0.85,0.92,0.8,0.78
37,這個捧著菊花圖案的圓盒，和《紅樓夢》的哪一節有關聯嗎？,Y,Y,1,1,0.2,0.9
38,這個看起來很薄的鼻煙壺，是用玻璃還是玉做的啊？,Y,N,0.95,0.96,0.92,0.93
39,這個有「奉華」兩個字的器皿，和誰有直接關聯嗎？,Y,Y,0.9,1,1,1
40,這組金色筷子和匙，和現在用的不一樣在哪？,Y,Y,0.8,0.92,0.87,0.88
41,這個翠綠色的玉雕佛手，看起來是不是有點像象徵富貴平安的感覺呢？,F,Y,0.8,0.9,0.75,0.8
42,這種白色瓷杯會不會只有貴族或有錢人家才用得到啊？,F,N,0.75,0.85,0.72,0.78
43,上面這個梅花圖案，你覺得更像是林黛玉的氣質還是薛寶釵的風格呢？,F,Y,0.3,0.8,0.6,0.6
44,這個茶壺上畫這麼多花，會不會也代表喝茶的場合特別講究氣氛啊？,F,N,0.9,0.9,0.9,0.9
45,這種閃閃發亮的金簪是不是常拿來送給女孩子表達心意呢？,F,N,0,0,0,0
46,這個玻璃的小瓶子，看起來很精緻，會不會就是大觀園裡那種給丫鬟裝香料的物品啊？,F,N,0.65,0.85,0.75,0.8
47,這個船形青瓷，有可能跟《紅樓夢》裡大觀園大家在湖上賞景有關係嗎？,F,Y,0.85,0.88,0.8,0.8
48,這個帶東珠的金冠感覺很尊貴，穿這個是不是只有高位的嬪妃才行啊？,F,N,0.93,0.95,0.94,0.93
49,這種紅色釉的盤子，很適合用來當過年或婚禮上的擺設對吧？,F,N,0.9,0.92,0.86,0.82
50,看到這個雕花的象牙荷包，你覺得女生們會不會特別把珍貴的東西藏在裡面呢？,F,Y,0.75,0.9,0.8,0.8
