query_type,query,suppose_answer,predict_answer,rejection_content,label
Y,這個佛手形狀在《紅樓夢》裡有什麼特別的象徵嗎？,Y,F,,FALSE
Y,這種玉做的小飾品以前是誰會帶在身上的啊？,Y,Y,,TRUE
Y,這個白色的瓷碗是用來盛什麼的呢？,Y,Y,,TRUE
Y,這個表面有花紋的白瓷杯主要是怎麼做出花紋的呀？,Y,Y,,TRUE
Y,這個細細雕著花紋的瓶子，和其他茶具有什麼不一樣嗎？,Y,Y,,TRUE
Y,這個看起來帶點青色的筆筒清代文人會怎麼用？,Y,Y,,TRUE
Y,上面刻著「奉華」這兩個字的洗，是什麼用途的啊？,Y,Y,,TRUE
Y,這種彩色畫花的蓋碗常常在哪種場合會用到呢？,Y,Y,,TRUE
Y,這個像海棠花形狀的茶壺實際能泡幾杯茶啊？,Y,Y,,TRUE
Y,這種有提把的壺以前是在什麼時候會用到？,Y,Y,,TRUE
Y,這種一對金色的簪子在劇中是哪位角色戴過的嗎？,Y,Y,,TRUE
Y,這個金碗拿來盛哪種食物比較多啊？,Y,F,,FALSE
Y,這對金筷子和匙以前是屬於哪種人的日常用品？,Y,Y,,TRUE
Y,這個上面有很多東珠和貓眼石的頭飾是哪種身份可以戴？,Y,Y,,TRUE
Y,這個鏤空帶紅色的小圓盒通常會收納什麼東西？,Y,Y,,TRUE
Y,這個懷錶上有西洋人物，當時怎麼會流行這種圖案呢？,Y,F,,FALSE
Y,這種雕滿花卉的荷包是用甚麼材質做的啊？,Y,Y,,TRUE
Y,這個黑底閃著金點的小瓶子通常是裝什麼用的？,Y,Y,,TRUE
Y,這個層層疊疊的三層屜盒最常放什麼東西呢？,Y,Y,,TRUE
Y,這個指甲套上面有蓮花圖案，是什麼身份的人喜歡用這種飾品？,Y,F,,FALSE
Y,這個淡青色的筆筒是用什麼材料做的啊？,Y,Y,,TRUE
Y,這種帶著花紋的白色小瓶，在清代叫什麼名字呢？,Y,Y,,TRUE
Y,這種呈透明紅色的盤子，當時是怎麼燒出這樣的顏色的？,Y,Y,,TRUE
Y,這個佛手造型出現在《紅樓夢》裡有特別的意思嗎？,Y,F,,FALSE
Y,這種上面有藍色花卉圖案的壺，平常是拿來裝什麼的？,Y,Y,,TRUE
Y,這一對金色的髮簪，當時是什麼人會戴啊？,Y,Y,,TRUE
Y,這個小小的懷錶，清代有什麼特別的稱呼嗎？,Y,Y,,TRUE
Y,這個碗底下的花紋，有在《紅樓夢》裡出現過嗎？,Y,Y,,TRUE
Y,這個用來插筆洗筆的器具，古時候會放在哪裡？,Y,Y,,TRUE
Y,這個茶壺外面畫的這些花，分別代表什麼季節嗎？,Y,F,,FALSE
Y,這種像小袋子的象牙雕花，是拿來裝什麼的？,Y,Y,,TRUE
Y,這個帶指甲套的東西，是清代女子平常會戴著嗎？,Y,Y,,TRUE
Y,這個金色的碗，當時重要的宴席會用得到嗎？,Y,F,,FALSE
Y,這個顏色很淡的蓋碗，是怎麼蓋住茶葉不讓味道散掉的？,Y,Y,,TRUE
Y,這種透明帶紋路的碟子是用什麼石頭做的？,Y,Y,,TRUE
Y,這種帶琺瑯彩的提梁壺，是不是只有貴族才會有呢？,Y,F,,FALSE
Y,這個捧著菊花圖案的圓盒，和《紅樓夢》的哪一節有關聯嗎？,Y,F,,FALSE
Y,這個看起來很薄的鼻煙壺，是用玻璃還是玉做的啊？,Y,Y,,TRUE
Y,這個有「奉華」兩個字的器皿，和誰有直接關聯嗎？,Y,Y,,TRUE
Y,這組金色筷子和匙，和現在用的不一樣在哪？,Y,Y,,TRUE
F,這個翠綠色的玉雕佛手，看起來是不是有點像象徵富貴平安的感覺呢？,F,F,,TRUE
F,這種白色瓷杯會不會只有貴族或有錢人家才用得到啊？,F,F,,TRUE
F,上面這個梅花圖案，你覺得更像是林黛玉的氣質還是薛寶釵的風格呢？,F,F,,TRUE
F,這個茶壺上畫這麼多花，會不會也代表喝茶的場合特別講究氣氛啊？,F,F,,TRUE
F,這種閃閃發亮的金簪是不是常拿來送給女孩子表達心意呢？,F,F,,TRUE
F,這個玻璃的小瓶子，看起來很精緻，會不會就是大觀園裡那種給丫鬟裝香料的物品啊？,F,F,,TRUE
F,這個船形青瓷，有可能跟《紅樓夢》裡大觀園大家在湖上賞景有關係嗎？,F,F,,TRUE
F,這個帶東珠的金冠感覺很尊貴，穿這個是不是只有高位的嬪妃才行啊？,F,F,,TRUE
F,這種紅色釉的盤子，很適合用來當過年或婚禮上的擺設對吧？,F,F,,TRUE
F,看到這個雕花的象牙荷包，你覺得女生們會不會特別把珍貴的東西藏在裡面呢？,F,F,,TRUE
F,這個別紅種菊的盒子，是不是在《紅樓夢》裡可以拿來裝詩稿或書信啊？,F,F,,TRUE
F,這個金色的筷子和湯匙感覺很隆重，是不是平常人家根本用不起呢？,F,F,,TRUE
F,這種描金帶花的杯子，會不會就是拿來招待很重要的客人用的杯子啊？,F,F,,TRUE
F,這個蓋碗上的花卉紋，有沒有可能是貴族小姐閨房裡的日常風景呢？,F,F,,TRUE
F,這個螺鈿三層盒子看起來很精美，會不會是寶玉或黛玉拿來藏心愛小物的地方？,F,F,,TRUE
F,看到這雙鎏金花的指甲套，會不會讓人聯想到《紅樓夢》中的貴婦手指修長纖細的樣子啊？,F,F,,TRUE
F,這個琺瑯畫的懷錶會不會是誰從西洋帶回來的稀罕玩意兒呢？,F,F,,TRUE
F,這個有「奉華」字樣的洗，看起來有沒有一種詩意與文人情懷？,F,F,,TRUE
F,這種金鏤珊瑚的璧感覺很特別，是不是在重要節日才會配戴啊？,F,F,,TRUE
F,這個天藍色帶金邊的杯子，有沒有可能是大觀園大家小聚時最愛用的那一類？,F,F,,TRUE
F,這種白白的瓷器會不會讓人聯想到《紅樓夢》裡那些清雅的女孩子呀？,F,F,,TRUE
F,這個看起來很精緻的鼻煙壺，是不是只有身份比較高的人才用得起啊？,F,F,,TRUE
F,這個玉佩的設計，會不會有什麼吉祥的意思呢？,F,F,,TRUE
F,這種細細的金筷子，是不是宴席上才會派上用場啊？,F,F,,TRUE
F,這個圓圓的盒子裡，大概會藏什麼樣的小驚喜呢？,F,F,,TRUE
F,這種帶花紋的茶壺，喝茶時感覺會更有詩意嗎？,F,F,,TRUE
F,你覺得這種雕花的荷包，是不是能代表女主角們的細膩心思？,F,F,,TRUE
F,這個紅紅的盤子看起來很搶眼，是不是也有慶祝的味道啊？,F,F,,TRUE
F,這類蓋碗上金色的線條，會不會讓人聯想到富貴或者祥和的氛圍？,F,F,,TRUE
F,這個佛手的造型，在當時是不是寓意著平安吉祥？,F,F,,TRUE
F,這種金色飾品會不會是貴族太太們才戴得起的啊？,F,F,,TRUE
F,這個茶壺的花卉圖案，是不是反映出當時賞花、品茗的生活情調？,F,F,,TRUE
F,這種透明的瑪瑙碗，是不是用來招待貴客會更體面呢？,F,F,,TRUE
F,這個鏤空的指甲套，是不是和小說裡人物的閨房打扮有點像？,F,F,,TRUE
F,看到這個青瓷的小船，會不會讓人想到賈府裡池塘遊玩的場景？,F,F,,TRUE
F,這種嵌金的玻璃盒子，是不是用來收納特別重要的小東西啊？,F,F,,TRUE
F,你覺得這個畫著西洋人的懷錶，會不會顯得有點與眾不同？,F,F,,TRUE
F,這個花式的瑪瑙碟，是不是特別適合擺放精緻的點心嗎？,F,F,,TRUE
F,這種有蓋的碗，如果用在宴席上，會不會有保溫或保香的效果啊？,F,F,,TRUE
F,這個雕著菊花紋的盒子，看起來會不會特別適合文人雅集時用呢？,F,F,,TRUE
N,你喜歡吃辣嗎？,N,N,您好，這個問題與《紅樓夢》展覽主題無關，歡迎您詢問相關內容！,TRUE
N,週末有什麼好看的電影推薦嗎？,N,N,您好，這個問題與《紅樓夢》展覽無關，歡迎您詢問與展覽或紅樓夢相關的內容！,TRUE
N,這裡附近有便利商店嗎？,N,N,很抱歉，這個問題與《紅樓夢》展覽無關，請您洽詢現場服務人員或查詢地圖。,TRUE
N,你平常都怎麼運動的？,N,N,您好，這個問題與《紅樓夢》展覽主題無關，歡迎您提出與展覽或作品相關的問題！,TRUE
N,現在流行什麼手機型號？,N,N,您好，這個問題與《紅樓夢》展覽無關，歡迎您詢問相關主題！,TRUE
N,你習慣喝熱的還是冷的飲料？,N,N,您好，這個問題與《紅樓夢》展覽無關，歡迎詢問相關內容！,TRUE
N,最近有什麼好聽的歌嗎？,N,N,您好，這個問題與《紅樓夢》展覽主題無關，歡迎您詢問有關展覽或《紅樓夢》的相關內容！,TRUE
N,你會養寵物嗎？,N,N,您好，這個問題與《紅樓夢》展覽主題無關，歡迎您詢問與展覽或紅樓夢相關的內容！,TRUE
N,午餐已經吃過了嗎？,N,N,您好，這個問題與《紅樓夢》展覽主題無關，歡迎您詢問與展覽或紅樓夢相關的內容！,TRUE
N,最近氣溫好像變化很大，你覺得冷嗎？,N,N,您好，這個問題和《紅樓夢》展覽內容無關，歡迎詢問相關展品或小說的問題！,TRUE
N,你平時會自己下廚嗎？,N,N,您好，這個問題和《紅樓夢》展覽主題無關，歡迎詢問相關內容！,TRUE
N,休假時喜歡去哪裡玩？,N,N,您好，這個問題與《紅樓夢》展覽主題無關，歡迎您提出與展覽或小說相關的問題！,TRUE
N,有推薦的旅遊景點嗎？,N,N,很抱歉，這個問題與《紅樓夢》展覽主題無關，歡迎您詢問相關內容！,TRUE
N,你會用什麼方式記錄生活？,N,N,您好，這個問題與《紅樓夢》展覽主題無關，歡迎您詢問有關展覽或《紅樓夢》的相關問題！,TRUE
N,你有看今年的運動賽事嗎？,N,N,您好，這個問題與《紅樓夢》展覽主題無關，歡迎您詢問相關內容！,TRUE
N,現在幾點了呢？,N,N,您好，這個問題與《紅樓夢》展覽無關，歡迎您詢問有關展覽或小說的相關內容！,TRUE
N,你家附近有好吃的餐廳嗎？,N,N,您好，這個問題與《紅樓夢》展覽內容無關，歡迎您詢問相關展品或小說的問題！,TRUE
N,你喜歡什麼顏色？,N,N,您好，這個問題和《紅樓夢》展覽內容無直接關聯，歡迎詢問相關展品或小說的問題！,TRUE
N,最近流行穿什麼風格的衣服？,N,N,您好，這個問題與《紅樓夢》展覽主題無關，歡迎您詢問有關展品或小說內容的問題！,TRUE
N,你有沒有什麼興趣嗜好？,N,N,您好，這個問題與《紅樓夢》展覽內容無關，歡迎詢問相關主題！,TRUE
N,你喜歡吃什麼口味的冰淇淋？,N,N,您好，這個問題和《紅樓夢》展覽內容無關，歡迎詢問有關展覽或紅樓夢的相關問題！,TRUE
N,請問現在幾點了？,N,N,您好，此問題與《紅樓夢》展覽無關，歡迎詢問相關內容！,TRUE
N,今天晚上有什麼電影推薦嗎？,N,N,很抱歉，這個問題與《紅樓夢》展覽無關，歡迎詢問相關內容！,TRUE
N,你會彈吉他嗎？,N,N,您好，這個問題與《紅樓夢》展覽內容無關，歡迎提問相關主題！,TRUE
N,這裡附近有地鐵站嗎？,N,N,很抱歉，這個問題與《紅樓夢》展覽內容無關，建議您洽詢現場服務人員或查詢場館官網獲得交通資訊。,TRUE
N,明天要不要一起去公園散步？,N,N,您好，這個問題與《紅樓夢》展覽無關，歡迎提出相關問題！,TRUE
N,你最近有看什麼有趣的書嗎？,N,N,您好，這個問題與《紅樓夢》展覽主題無關，歡迎您詢問有關展覽或《紅樓夢》的相關問題！,TRUE
N,晚餐想吃中餐還是西餐？,N,N,您好，這個問題與《紅樓夢》展覽內容無關，歡迎您詢問相關主題！,TRUE
N,你覺得夏天還是冬天比較舒服？,N,N,您好，這個問題和《紅樓夢》展覽主題無關，歡迎您詢問有關展覽或《紅樓夢》的相關問題！,TRUE
N,這瓶水可以直接飲用嗎？,N,N,您好，這個問題與《紅樓夢》展覽內容無關，歡迎您提出有關展覽或小說的相關問題！,TRUE
N,早餐常常吃什麼？,N,N,您好，這個問題與《紅樓夢》展覽內容無直接關聯，歡迎您詢問有關展品或小說的相關問題！,TRUE
N,你支持哪一支足球隊？,N,N,您好，這個問題和《紅樓夢》展覽無關，歡迎詢問與展覽或紅樓夢相關的內容！,TRUE
N,這家餐廳要排隊嗎？,N,N,您好，這個問題與《紅樓夢》展覽無關，歡迎您詢問有關展覽或作品的相關內容！,TRUE
N,你喜歡狗還是貓？,N,N,您好，這個問題與《紅樓夢》展覽主題無關，歡迎您詢問有關展覽或小說的相關內容！,TRUE
N,你的手機型號是什麼？,N,N,您好，這個問題與《紅樓夢》展覽無關，歡迎提出相關問題！,TRUE
N,下班後通常會做什麼休閒活動？,N,N,您好，這個問題與《紅樓夢》展覽主題無關，歡迎您提出與展覽或作品相關的問題！,TRUE
N,現在外面交通會塞車嗎？,N,N,很抱歉，這個問題與《紅樓夢》展覽無關，歡迎詢問相關內容！,TRUE
N,你平常幾點睡覺？,N,N,您好，這個問題與《紅樓夢》展覽無關，歡迎詢問相關內容！,TRUE
N,這附近有便利商店嗎？,N,N,您好，這個問題與《紅樓夢》展覽內容無關，建議您可詢問現場服務人員或查詢地圖資訊。,TRUE
N,你喜歡早上還是晚上散步呢？,N,N,您好，這個問題與《紅樓夢》展覽內容無關，歡迎您詢問相關展品或小說的問題！,TRUE
Y,這種顏色淡淡的杯子，喝茶會不會讓人感覺比較清靜、像林黛玉平常的氛圍啊？,Y,F,,FALSE
Y,這個玉做的小東西，是不是摸起來感覺特別溫潤，有點像寶玉手上的那種溫柔感？,Y,F,,FALSE
Y,這種帶有花紋的瓷器，看起來會不會比較像賈府裡女孩子們用來擺擺氣氛的？,Y,F,,FALSE
Y,這個紅色的盤子，是不是顏色特別顯眼，看了讓人直想到元春省親時的熱鬧場面呢？,Y,F,,FALSE
Y,這個細細長長的金屬飾品，戴在頭上會不會讓人感覺像貴族小姐那種華麗的感覺？,Y,F,,FALSE
Y,這種琺瑯彩的小壺，是不是比一般陶壺更顯得精緻，拿來待客有沒有那種主人的氣派？,Y,F,,FALSE
Y,這個花紋很細緻的鼻煙壺，看起來是不是比較像王熙鳳這種精明人物會喜歡用的東西？,Y,F,,FALSE
F,這種帶有鏤空花紋的指甲套，當時大概都是用什麼工法製作出來的啊？,F,Y,,FALSE
F,這種青瓷船，看起來尺寸不大，通常會擺在哪種場合或空間裡面呢？,F,Y,,FALSE
F,像這個紅色釉的盤，清代大概哪一個朝代比較流行這種顏色？,F,Y,,FALSE
F,這個鼻煙壺大小只能塞進手心，當初製作時尺寸有標準限制嗎？,F,Y,,FALSE
F,像這種有西洋人物圖案的懷錶，通常清代什麼時候會出現這樣的工藝呢？,F,Y,,FALSE
Y,這種白色的杯子用起來會不會讓人感覺很像薛寶釵那種溫和的氣質啊？,Y,F,,FALSE
Y,這個有花紋的圓盒子擺在桌上，是不是比較有那種大觀園裡熱鬧聚會的氛圍呢？,Y,F,,FALSE
Y,這個紅釉色的盤子是不是看起來比其他器皿更有喜氣，會不會比較像貴族家庭慶典時用的？,Y,F,,FALSE
F,這個白色的小瓶子尺寸大概有多高啊，之前是放在哪裡用的呢？,F,Y,,FALSE
F,這種金色的髮簪通常怎麼製作出那麼細的紋理，是哪一種工法的關係嗎？,F,Y,,FALSE
F,這個深色灑金的鼻煙壺大概幾年出現最多，當時的人都會怎麼攜帶它呢？,F,Y,,FALSE
Y,這種白色的瓶子，看起來很素雅，是不是比較像賈母房裡那種安靜溫和的感覺啊？,Y,F,,FALSE
F,這個碗的尺寸大概原本是拿來盛什麼用的？是不是跟平常喝茶的杯子不一樣啊？,F,Y,,FALSE
Y,這個看起來很細緻的碗托，是不是比較適合黛玉那種清冷的氣質呢？,Y,F,,FALSE
