faithfulness,answer_relevancy,context_precision,context_recall
0.7,0.85,0.55,0.75
0.7,0.8,0.6,0.7
0.25,0.3,0.25,0.4
0.93,0.92,0.78,0.86
0.85,0.9,0.92,0.85
0.7,0.8,0.6,0.6
0.9,0.9,0.85,0.85
0.75,0.8,0.68,0.55
0.9,0.9,0.6,0.7
0.8,0.85,0.8,0.8
0.25,0.25,0.25,0.2
1.0,1.0,1.0,1.0
0.92,0.92,0.88,0.9
0.9,0.9,0.9,0.9
0.25,0.65,0.25,0.45
0.87,0.84,0.82,0.83
0.9,0.9,0.85,0.92
1.0,1.0,1.0,1.0
0.65,0.7,0.32,0.4
0.92,0.95,0.88,0.88
1.0,1.0,1.0,1.0
0.15,0.2,0.25,0.3
0.95,0.95,0.93,0.93
0.86,0.92,0.89,0.91
0.8,0.85,0.7,0.75
1.0,1.0,1.0,1.0
0.92,0.9,0.75,0.85
0.15,0.35,0.25,0.3
0.92,0.94,0.92,0.93
1.0,1.0,1.0,1.0
0.9,0.9,0.9,0.9
0.95,0.95,0.95,0.95
0.9,0.9,0.8,0.8
1.0,1.0,1.0,1.0
0.9,0.9,0.85,0.8
0.85,0.92,0.88,0.9
0.82,0.88,0.9,0.85
1.0,1.0,0.9,0.9
0.9,0.95,0.92,0.92
0.73,0.84,0.8,0.83
0.9,0.9,0.85,0.85
0.6,0.7,0.5,0.6
0.8,0.9,0.85,0.8
0.92,0.93,0.9,0.9
0.7,0.8,0.6,0.85
0.6,0.85,0.7,0.8
1.0,1.0,0.7,0.2
0.9,0.9,0.9,0.9
0.85,0.92,0.88,0.8
0.65,0.9,0.35,0.4
0.35,0.3,0.55,0.5
0.8,0.9,0.7,0.5
0.72,0.79,0.81,0.7
0.66,0.7,0.58,0.55
0.65,0.78,0.72,0.58
0.6,0.9,0.8,0.85
0.65,0.85,0.78,0.6
0.65,0.7,0.8,0.82
0.8,0.9,0.85,0.8
0.75,0.8,0.85,0.9
0.9,0.95,0.92,0.92
0.6,0.8,0.65,0.7
0.85,0.92,0.8,0.8
0.92,0.95,0.9,0.93
0.65,0.7,0.8,0.8
0.8,0.9,0.85,0.8
0.6,0.85,0.42,0.18
0.92,0.95,0.93,0.92
0.9,0.92,0.88,0.86
0.85,0.9,0.8,0.7
0.85,0.9,0.88,0.9
1.0,1.0,1.0,1.0
0.7,0.8,0.6,0.5
0.86,0.92,0.89,0.93
0.8,0.9,0.6,0.8
0.95,1.0,0.95,0.9
0.92,0.9,0.87,0.85
0.8,0.9,0.7,0.75
0.92,0.95,0.9,0.92
0.15,0.85,0.75,0.85
0.0,0.0,0.0,0.0
0.15,0.25,0.1,0.0
0.8,0.5,0.9,0.6
0.8,0.25,0.75,0.1
0.8,0.4,0.0,0.0
0.9,0.9,0.15,0.1
0.6,0.4,0.0,0.0
0.0,0.0,0.0,0.0
1.0,0.9,0.85,0.9
0.15,0.15,0.0,0.0
0.0,0.0,0.0,0.0
0.78,0.22,0.63,0.6
0.15,0.65,0.8,0.75
0.74,0.82,0.52,0.57
0.3,0.2,0.0,0.0
0.9,0.7,0.0,0.0
0.25,0.2,0.05,0.0
0.2,0.3,0.25,0.6
0.65,0.25,0.3,0.1
0.2,0.25,0.2,0.4
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.2,0.25,0.3,0.25
0.8,0.2,0.75,0.5
0.0,0.3,0.0,0.0
0.0,0.8,0.85,0.9
0.85,0.25,0.75,0.8
0.75,0.85,0.7,0.95
0.75,0.85,0.25,0.15
0.6,0.4,0.2,0.3
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.2,0.2,0.5,0.0
1.0,0.2,0.0,0.0
0.25,0.4,0.8,0.25
0.0,0.5,0.1,0.05
0.85,0.92,0.85,0.85
0.85,0.9,0.7,0.8
0.85,0.9,0.88,0.9
0.65,0.6,0.55,0.5
0.92,0.95,0.93,0.94
1.0,1.0,0.85,0.9
0.9,0.9,0.8,0.85
0.92,0.95,0.88,0.95
0.72,0.92,0.86,0.9
0.75,1.0,0.85,0.8
0.4,0.6,0.9,0.8
0.3,0.6,0.5,0.65
0.7,0.85,0.25,0.6
0.8,0.9,0.8,0.8
0.63,0.78,0.7,0.42
0.6,0.8,0.75,0.3
0.92,0.95,0.9,0.9
0.9,0.9,0.9,0.9
0.92,0.92,0.85,0.85
0.85,0.9,0.88,0.9
0.85,0.95,0.85,0.85
